D_HDN	D_MFI	VPCT	VPPD_Nor	VPPD_Cen	VPPD_Sur	VPPD_Tot	CMg_Nor	CMg_Cen	CMg_Sur	Capital	Dem_Tot	Ccapital	
212.107	12.7861	691.961	3601.5	2574.66	297.561	6489.67	287.309	50.6534	27.1179	74	10017	100	
40.8901	2.92059	487.082	1719.76	764.275	226.449	2711.34	109.184	24.229	23.8142	74	7270	100	
31.0742	1.21896	279.42	483.719	617.51	168.062	1269.52	58.4592	20.4846	21.7692	74	5970	100	
95.8087	6.02347	433.237	1757.37	1408.31	221.338	3387.73	152.778	32.7662	24.1875	74	8130	100	
70.1642	4.33953	389.036	949.121	937.675	208.496	2096.3	90.6817	25.3026	23.5805	74	7640	100	
74.8935	4.2908	386.882	1339.53	1151.27	205.481	2696.88	121.663	28.7627	23.4661	74	7490	100	
82.6434	6.89682	765.545	2403.35	1301.93	302.95	4039.13	150.534	31.5354	26.5542	74	8860	100	
52.1296	5.29193	829.353	3840.96	1214.2	312.655	5382.7	208.402	32.9455	26.5742	74	8510	100	
40.7393	3.62019	661.803	3286.02	1028.02	268.759	4583.72	184.748	30.1101	25.1181	74	7790	100	
66.2954	4.56362	489.018	582.561	794.681	233.886	1628.8	56.9063	22.2995	24.3134	74	7860	100	
123.947	9.09315	806.115	3200.52	1838.14	316.126	5385.52	216.305	39.9892	27.2416	74	9480	100	
159.582	11.7501	980.126	5137.53	2461.43	372.542	7989.44	330.467	51.3933	29.0452	74	10290	100	
111.334	11.1214	1266.86	7492.04	2541.32	446.663	10488.8	423.711	56.1434	30.9614	74	10580	100	
112.05	10.2008	1108.23	5989.4	2270.86	395.965	8678.13	349.461	50.1612	29.5359	74	10170	100	
236.52	14.6937	834.946	4351.62	2880.49	354.696	7593.03	329.284	55.8004	28.8171	74	10650	100	
58.8452	2.97903	343.206	1122.77	1006.47	189.506	2319.09	106.344	26.5633	22.7479	74	6830	100	
62.8165	11.5358	2775.66	21554	4692.7	810.43	27218.1	1103.14	108.357	41.5374	74	11680	100	
76.5649	10.4447	1589.01	10168	2649.71	528.175	13362.4	531.914	61.9563	33.1056	74	10868	100	
265.464	17.9178	1330.27	10823.6	5311.61	493.221	17056.9	762.088	103.127	34.4134	74	11670	100	
210.706	16.6033	1574.47	12854.8	5271.66	548.691	19241.7	844.414	107.615	35.915	74	11740	100	
77.8915	9.5779	1384.71	8203.94	2284.76	464.732	10968.8	433.048	53.8056	31.2816	74	10380	100	
76.512	7.30413	926.102	3848.07	1489.56	340.358	5708.91	217.059	36.3136	27.6353	74	9180	100	
166.86	11.2771	848.606	3939.77	2291.53	332.837	6591	274.351	47.239	27.9511	74	10010	100	
168.648	12.9526	1097.13	6324.03	2749.39	413.725	9492.28	394.094	57.1174	30.2395	74	10690	100	
108.462	9.34071	967.525	4619.49	1988.96	353.445	6992.67	279.396	44.2323	28.2963	74	9760	100	
171.736	13.8258	1256.38	8193.63	3317.41	459.386	12082.6	509.371	68.9164	31.8784	74	11020	100	
145.617	14.7461	1786.01	14291.9	5016.72	594.044	20444	879.273	106.3	36.8828	74	11700	100	
89.3699	12.2469	1919.6	14604.2	4299.24	617.626	19929.4	834.001	95.7143	36.8795	74	11489	100	
93.7774	6.83026	615.529	1223.19	1221.31	268.387	2742.36	101.928	28.6266	25.6011	74	8640	100	
118.047	12.423	1465.32	9807.28	3246.94	505.761	13685.6	565.734	70.6356	33.0347	74	11041	100	
134.81	7.9877	485.615	2436.86	1812.88	237.045	4488.44	204.304	39.1108	24.8901	74	8690	100	
64.9285	7.22792	1060.18	4968.61	1549.03	370.856	6919.47	262.876	38.8627	28.4556	74	9340	100	
70.2566	8.24773	1200.03	6364.26	1867.74	404.622	8667.56	336.374	45.3267	29.5288	74	9790	100	
222.195	14.9258	1001.73	5953.09	3147.42	400.544	9543.06	409.733	62.3547	30.1863	74	10909	100	
279.872	17.3506	1022.2	7262.23	4377.97	414.847	12162.7	545.31	81.2941	31.4877	74	11270	100	
74.0524	8.96362	1283.27	8187.33	2254.07	454.777	10909.7	431.484	52.8284	30.3529	74	10380	100	
112.896	11.7659	1356.8	9789.51	3214.12	493.216	13622.5	564.061	69.5902	31.9893	74	11041	100	
231.792	14.3794	783.046	4343.12	2864.79	348.696	7562.83	328.484	55.3004	28.3171	74	10650	100	
80.5006	6.55396	708.927	2394.07	1284.81	301.423	4006.18	149.698	31.0266	26.2254	74	8860	100	
75.2131	9.14933	1313.94	8192.35	2263.35	456.55	10927.6	431.957	53.1238	30.5998	74	10380	100	
